Botanical name,C for coastal,Coastal preference,Description,Common Name,Drainage Preferences,Drought tolerance,Flower description,Frost tolerance,G for groundcover,H for hardiness,Height average,Position preference,D for dappled,Soil type,T for tasmanian,Wet area plant,Average width,Wind resistance,Detailed Description
Prostanthera ovalifolia purpurea,,mild coastal sites,prune for a low screen scented contrast purple leaves,Purple Mintbush,moist well drained site,usually tolerates dry periods,purple flowers in spring,frost hardy,,,1.7,part shade to full sun,,light clay to sandy soils,,,1.4,some wind protection,"Purple Mintbush is a remarkable plant admired for prune for a low screen scented contrast purple leaves. It showcases purple flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.7 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Westringia Jervis Gem,C,severe coastal exposure,fast compact screen - prune very good for protection near the sea,,good drainage,very drought tolerant,light purple flowers in spring,frost hardy,,,1.5,prefers full sun,,light clay to sandy soils,,,2.0,very wind resistant,"Westringia Jervis Gem (Westringia Jervis Gem) is recognized for fast compact screen - prune very good for protection near the sea. It showcases light purple flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Westringia fruticosa Smokey,C,severe coastal exposure,compact contrast foliage good for protecting other plants near the sea,W. fruticosa hybrid,very good drainage,very drought tolerant,white flowers in spring & summer,frost hardy,,,1.2,prefers full sun,,light clay to sandy soils,,,1.3,very wind resistant,"Gardeners often choose W. fruticosa hybrid for compact contrast foliage good for protecting other plants near the sea. It showcases white flowers in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.2 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Myoporum floribundum,,mild coastal sites,weeping long leaves very attractive small garden feature,Slender Boobialla,good drainage,very drought tolerant,white flowers in spring & summer,frost hardy,,,2.5,prefers full sun,,light clay to sandy soils,,,3.0,some wind protection,"Slender Boobialla is a remarkable plant admired for weeping long leaves very attractive small garden feature. It showcases white flowers in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hakea macraeana,,mild coastal sites,small feature with fine soft leaves good bird attracting plant,,very good drainage,usually tolerates dry periods,white flowers in spring,frost hardy,,,3.25,part shade to full sun,,prefers sandy soils,,,2.5,wind resistant,"Hakea macraeana (Hakea macraeana) is recognized for small feature with fine soft leaves good bird attracting plant. It showcases white flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 3.25 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Dianella revoluta,,mild coastal sites,mass plant for border or revegatation container - bird attracting - clumping,Narrow Leaved Flax Lily,moist well drained site,usually moisture reliant,pale blue berries in spring & summer,very frost hardy,,,0.6,part shade to full sun,,light clay to sandy soils,T,,0.8,some wind protection,"Narrow Leaved Flax Lily is a remarkable plant admired for mass plant for border or revegatation container - bird attracting - clumping. It showcases pale blue berries in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 0.6 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Calytrix tetragona white,C,moderate coastal exposure,can use for cut flowers prune for a low screen,Common Fringe Myrtle,good drainage,drought tolerant,white flowers in spring,very frost hardy,,H,1.5,part shade to full sun,,light clay to sandy soils,T,,1.5,very wind resistant,"Gardeners often choose Common Fringe Myrtle for can use for cut flowers prune for a low screen. It showcases white flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Coprosma quadrifida,,protect in coastline sites,good revegatation plant difficult to propagate - bird attracting,Prickly Currant Bush,moist well drained site,usually moisture reliant,red or orange berries in summer,very frost hardy,,,3.0,dappled shade,D,heavy clay or peat soils,T,,1.5,wind resistant,"Prickly Currant Bush is a remarkable plant admired for good revegatation plant difficult to propagate - bird attracting. It showcases red or orange berries in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both very frost hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 3.0 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Dendrobium kingianum,,protect in coastline sites,grows on mossy stones in open forests must have very good drainage,Pink Rock Orchid,moist well drained site,usually moisture reliant,pink to mauve flowers in early spring,light frosts only,,,0.25,dappled shade,D,prefers sandy soils,,,0.3,protect from strong winds,"Pink Rock Orchid (Dendrobium kingianum) is recognized for grows on mossy stones in open forests must have very good drainage. It showcases pink to mauve flowers in early spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both light frosts only and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 0.25 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Oxylobium ellipticum,,protect in coastline sites,tip prune occasionally revegatation plant - attracts butterflies,Golden Rosemary,moist well drained site,usually moisture reliant,yellow flowers in spring & summer,very frost & snow hardy,,,2.5,part shade to full sun,,light clay to sandy soils,T,,2.0,wind resistant,"Gardeners often choose Golden Rosemary for tip prune occasionally revegatation plant - attracts butterflies. It showcases yellow flowers in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Stylidium graminifolium,,protect in coastline sites,very difficult to grow tufting habit,Trigger Plant,moist well drained site,usually moisture reliant,pink butterfly flowers spring & summer,very frost & snow hardy,,,0.15,dappled shade,D,light clay to sandy soils,T,,0.3,wind resistant,"Trigger Plant is a remarkable plant admired for very difficult to grow tufting habit. It showcases pink butterfly flowers spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 0.15 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Callistemon forresterae,,mild coastal sites,prune to form a dense screen bird attracting & lovely avenue feature,Forresters Bottlebrush,tolerates wet sites,usually moisture reliant,purple brushes in spring & summer,frost hardy,,,2.0,part shade to full sun,,light clay to sandy soils,,W,1.8,wind resistant,"Gardeners often choose Forresters Bottlebrush for prune to form a dense screen bird attracting & lovely avenue feature. It showcases purple brushes in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 2.0 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Syzygium paniculatum,,mild coastal sites,compact screen plant or large container prune trunk for standard avenue feature,Lilly Pilly - Magenta Cherry,moist well drained site,usually moisture reliant,"small white flowers, magenta fruits in summer",light frosts only,,,8.0,part shade to full sun,,light clay to sandy soils,,,5.0,wind resistant,"Lilly Pilly - Magenta Cherry (Syzygium paniculatum) is recognized for compact screen plant or large container prune trunk for standard avenue feature. It showcases small white flowers, magenta fruits in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both light frosts only and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 8.0 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Calothamnus quadrifidus dwarf,C,moderate coastal exposure,good bird attracting plant,,good drainage,drought tolerant,red brushes in spring & summer,frost hardy,,,1.0,prefers full sun,,prefers sandy soils,,,1.4,wind resistant,"Gardeners often choose Calothamnus quadrifidus dwarf for good bird attracting plant. It showcases red brushes in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Calothamnus quadrifidus grey,C,moderate coastal exposure,contrast grey foliage good bird attracting plant,,good drainage,drought tolerant,red brushes in spring & summer,frost hardy,,,1.75,prefers full sun,,prefers sandy soils,,,2.0,wind resistant,"Calothamnus quadrifidus grey is a remarkable plant admired for contrast grey foliage good bird attracting plant. It showcases red brushes in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.75 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Ixodia achillaeoides compact,,mild coastal sites,useful for cut flowers compact container plant,Mountain Daisy,good drainage,very drought tolerant,clusters of small white flowers in summer,frost hardy,,,0.9,part shade to full sun,,light clay to sandy soils,,,0.8,wind resistant,"Ixodia achillaeoides compact is well-regarded for useful for cut flowers compact container plant. It showcases clusters of small white flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.9 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Anigozanthos Dwarf Red,C,moderate coastal exposure,cut flowers - container or border plant gets inkspot - clumped habit - attracts birds,Kangaroo Paw,moist well drained site,usually tolerates dry periods,rich red tubular paws in summer,frost hardy,,,0.8,prefers full sun,,prefers sandy soils,,,0.8,some wind protection,"Gardeners often choose Kangaroo Paw for cut flowers - container or border plant gets inkspot - clumped habit - attracts birds. It showcases rich red tubular paws in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.8 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Spyridium vexilliferum,,moderate coastal exposure,attractive border or rockery plant flowers give way to beautiful bracts,Helicopter Bush,moist well drained site,usually tolerates dry periods,white flower wings & bracts winter & spring,very frost hardy,,,0.6,part shade to full sun,,light clay to sandy soils,T,,0.7,wind resistant,"Known for its attractive border or rockery plant flowers give way to beautiful bracts, Helicopter Bush makes an excellent addition to any garden. attractive border or rockery plant flowers give way to beautiful bracts. It showcases white flower wings & bracts winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.6 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Westringia glabra cadabra,,moderate coastal exposure,fast compact screen - tip prune brighter & longer leaf than W. glabra,,very good drainage,very drought tolerant,bluey mauve flowers in spring,frost hardy,,,1.7,prefers full sun,,light clay to sandy soils,,,2.0,very wind resistant,"Westringia glabra cadabra (Westringia glabra cadabra) is recognized for fast compact screen - tip prune brighter & longer leaf than w. glabra. It showcases bluey mauve flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.7 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hymenosporum flavum,,mild coastal sites,avenue feature with large flowers attracts butterflies,Native Frangipani,moist well drained site,usually moisture reliant,large yellow flowers in spring,light frosts only,,,8.0,prefers full sun,,light clay to sandy soils,,,4.0,protect from strong winds,"Known for its avenue feature with large flowers attracts butterflies, Native Frangipani makes an excellent addition to any garden. avenue feature with large flowers attracts butterflies. It showcases large yellow flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both light frosts only and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 8.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Polystichum proliferum,,protect in coastline sites,good container plant in a shady area clumping habit,Mother Shield Fern,grows well in wet sites,usually moisture reliant,,very frost & snow hardy,,H,0.3,dappled shade,D,heavy clay or peat soils,T,W,0.8,very wind resistant,"Known for its good container plant in a shady area clumping habit, Mother Shield Fern makes an excellent addition to any garden. good container plant in a shady area clumping habit. It showcases , bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 0.3 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Blechnum nudum,,protect in coastline sites,good container plant in a shady area clumping habit,Fishbone Water Fern,grows well in wet sites,usually moisture reliant,,very frost & snow hardy,,H,0.5,dappled shade,D,heavy clay or peat soils,T,W,1.0,very wind resistant,"Blechnum nudum is well-regarded for good container plant in a shady area clumping habit. It showcases , bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 0.5 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea thelemanniana mini marvel,C,moderate coastal exposure,compact groundcover for retainer wall useful in rockery or container,,very good drainage,drought tolerant,bright red spiders in winter & spring,frost hardy,G,,0.4,part shade to full sun,,prefers sandy soils,,,2.0,some wind protection,"Gardeners often choose Grevillea thelemanniana mini marvel for compact groundcover for retainer wall useful in rockery or container. It showcases bright red spiders in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.4 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Prostanthera sieberi,,mild coastal sites,fast growing screen - prune often scented leaves - flowers prolificly,Mintbush,moist well drained site,usually tolerates dry periods,light purple flowers in spring,light frosts only,,,1.75,part shade to full sun,,light clay to sandy soils,,,1.5,some wind protection,"Known for its fast growing screen - prune often scented leaves - flowers prolificly, Mintbush makes an excellent addition to any garden. fast growing screen - prune often scented leaves - flowers prolificly. It showcases light purple flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both light frosts only and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.75 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Thomasia purpurea,,mild coastal sites,prune after flowering,Purple Paper Flower,good drainage,very drought tolerant,soft purple bells in spring,very frost hardy,,,1.2,dappled shade,D,light clay to sandy soils,,,1.4,wind resistant,"Known for its prune after flowering, Purple Paper Flower makes an excellent addition to any garden. prune after flowering. It showcases soft purple bells in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.2 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Westringia angustifolia,C,moderate coastal exposure,fast growing screen - tip prune,,very good drainage,very drought tolerant,white flowers in summer,frost hardy,,,1.5,prefers full sun,,light clay to sandy soils,T,,2.0,very wind resistant,"Westringia angustifolia is a remarkable plant admired for fast growing screen - tip prune. It showcases white flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Ficinia nodosa Isolepis,,mild coastal sites,aquatic plant for revegetation work clumping habit for container or border,Knobby Club Rush,grows well in wet sites,usually moisture reliant,spherical seed heads in summer,very frost & snow hardy,,H,0.8,part shade to full sun,,heavy clay or peat soils,T,W,0.6,very wind resistant,"Gardeners often choose Knobby Club Rush for aquatic plant for revegetation work clumping habit for container or border. It showcases spherical seed heads in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 0.8 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Thryptomene Supernova,C,moderate coastal exposure,weeping habit -- used for cut flowers lovely small feature in a rockery,,good drainage,drought tolerant,white flowers in winter & spring,very frost hardy,,,0.9,part shade to full sun,,light clay to sandy soils,,,1.2,wind resistant,"Thryptomene Supernova (Thryptomene Supernova) is recognized for weeping habit -- used for cut flowers lovely small feature in a rockery. It showcases white flowers in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.9 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea ripicola,,protect in coastline sites,rare in the wild - bird attracting groundcover - tip prune after flowering,Collie Grevillea,very good drainage,usually tolerates dry periods,red spider flowers in spring,frost hardy,G,,1.0,prefers full sun,,prefers sandy soils,,,2.5,some wind protection,"Collie Grevillea (Grevillea ripicola) is recognized for rare in the wild - bird attracting groundcover - tip prune after flowering. It showcases red spider flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Adenanthos cunninghamii,C,moderate coastal exposure,bird attracting - useful in rockery contrast silky silvery foliage - rare in wild,,very good drainage,drought tolerant,pink flowers in summer,frost hardy,,,0.7,prefers full sun,,prefers sandy soils,,,1.0,some wind protection,"Adenanthos cunninghamii is well-regarded for bird attracting - useful in rockery contrast silky silvery foliage - rare in wild. It showcases pink flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.7 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Austromyrtus Copper Tops tenuifolia,C,moderate coastal exposure,contrasting coppery new growth tip prune for a container,,moist well drained site,usually moisture reliant,small white flowers in summer & autumn,frost hardy,,,0.5,part shade to full sun,,prefers sandy soils,,,1.0,protect from strong winds,"Known for its contrasting coppery new growth tip prune for a container, Austromyrtus Copper Tops tenuifolia makes an excellent addition to any garden. contrasting coppery new growth tip prune for a container. It showcases small white flowers in summer & autumn, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 0.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Phebalium squ. var. argenteum squamulosum,,protect in coastline sites,small feature - attracts butterflies compact growth - cut flowers,P. squamulosum var.,moist well drained site,usually moisture reliant,creamy yellow flowers winter & spring,very frost hardy,,,1.4,part shade to full sun,,heavy clay or peat soils,,,1.3,some wind protection,"P. squamulosum var. is a remarkable plant admired for small feature - attracts butterflies compact growth - cut flowers. It showcases creamy yellow flowers winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both very frost hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 1.4 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Thomasia quercifolia,,mild coastal sites,prune after flowering,Oak Leaved Paper Flower,good drainage,very drought tolerant,small pink bells in spring,very frost hardy,,,0.8,part shade to full sun,,light clay to sandy soils,,,1.2,wind resistant,"Oak Leaved Paper Flower is a remarkable plant admired for prune after flowering. It showcases small pink bells in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.8 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia spinulosa low mound,C,moderate coastal exposure,a lovely small feature very good bird attracting plant,,moist well drained site,usually tolerates dry periods,yellowy orange cones autumn & winter,frost hardy,,,1.2,prefers full sun,,light clay to sandy soils,,,1.4,wind resistant,"Banksia spinulosa low mound is a remarkable plant admired for a lovely small feature very good bird attracting plant. It showcases yellowy orange cones autumn & winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.2 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Agonis flexuosa purpurea,,mild coastal sites,slow growing avenue feature weeping contrast purple leaves,,moist well drained site,usually tolerates dry periods,small white flowers in summer,light frosts only,,,3.0,part shade to full sun,,light clay to sandy soils,,,3.0,some wind protection,"Agonis flexuosa purpurea is well-regarded for slow growing avenue feature weeping contrast purple leaves. It showcases small white flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both light frosts only and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 3.0 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Pimelea Magenta Mist ferruginea,,moderate coastal exposure,compact groundcover - attracts butterflies tip prune after flowering,Magenta Rice Flower,very good drainage,usually tolerates dry periods,vivid magenta pink flowers in spring,frost hardy,,,0.6,part shade to full sun,,light clay to sandy soils,,,1.5,wind resistant,"Known for its compact groundcover - attracts butterflies tip prune after flowering, Magenta Rice Flower makes an excellent addition to any garden. compact groundcover - attracts butterflies tip prune after flowering. It showcases vivid magenta pink flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.6 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Calytrix tetragona nana,C,moderate coastal exposure,compact foliage for a border or rockery slow growth - good container plant,,good drainage,drought tolerant,white flowers in spring,very frost hardy,,H,0.5,part shade to full sun,,light clay to sandy soils,T,,0.8,very wind resistant,"Calytrix tetragona nana is well-regarded for compact foliage for a border or rockery slow growth - good container plant. It showcases white flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Acradenia frankliniae,,mild coastal sites,tip prune to promote dense growth,Whitey Wood,moist well drained site,usually moisture reliant,clusters of white flowers in summer,very frost hardy,,,4.0,dappled shade,D,light clay to sandy soils,T,,3.0,wind resistant,"Whitey Wood is a remarkable plant admired for tip prune to promote dense growth. It showcases clusters of white flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 4.0 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Eucryphia milliganii,,protect in coastline sites,flowers & leaves less size than E. lucida,Mountain Leatherwood,tolerates wet sites,usually moisture reliant,smaller white flower in summer,very frost & snow hardy,,H,2.0,dappled shade,D,heavy clay or peat soils,T,W,2.0,very wind resistant,"Mountain Leatherwood (Eucryphia milliganii) is recognized for flowers & leaves less size than e. lucida. It showcases smaller white flower in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 2.0 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Chorilaena quercifolia,,mild coastal sites,tip prune occasionally also bird attracting,,moist well drained site,usually tolerates dry periods,pendulous cream & reddish flowers,frost hardy,,,1.75,dappled shade,D,light clay to sandy soils,,,2.0,some wind protection,"Known for its tip prune occasionally also bird attracting, Chorilaena quercifolia makes an excellent addition to any garden. tip prune occasionally also bird attracting. It showcases pendulous cream & reddish flowers, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.75 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Brachyscome Valencia,,mild coastal sites,fast growing small groundcover - tip prune,,good drainage,usually tolerates dry periods,purple daisies most seasons summer autumn winter spring,frost hardy,G,,0.2,prefers full sun,,prefers sandy soils,,,0.5,some wind protection,"Known for its fast growing small groundcover - tip prune, Brachyscome Valencia makes an excellent addition to any garden. fast growing small groundcover - tip prune. It showcases purple daisies most seasons summer autumn winter spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.2 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Boronia Pixie,,protect in coastline sites,cut foliage & flower - prune frequently best in protected site with morning sun,,moist well drained site,usually moisture reliant,pink flowers in late winter & spring,frost hardy,,,0.8,dappled shade,D,light clay to sandy soils,,,0.8,protect from strong winds,"Boronia Pixie (Boronia Pixie) is recognized for cut foliage & flower - prune frequently best in protected site with morning sun. It showcases pink flowers in late winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 0.8 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Correa Pink Pixie,C,moderate coastal exposure,tip prune for density also bird attracting,,moist well drained site,drought tolerant,pink bells in winter & early spring,frost hardy,,,1.3,part shade to full sun,,light clay to sandy soils,,,1.4,wind resistant,"Correa Pink Pixie (Correa Pink Pixie) is recognized for tip prune for density also bird attracting. It showcases pink bells in winter & early spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.3 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
